code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",162341,196,---,2606,362284,41,1922,28,---,3,3824,303,16178,94,9484
21,Mining,1246,86296,35572,18762,536485,103,205,629,3554,220,3767,2225,2834,1659,29742
22,Utilities,10321,23190,50849,13611,90805,23785,65767,18452,20218,54327,23872,25096,46131,10912,47267
23,Construction,1669,5319,7740,412,22811,5966,13409,8135,5150,141240,6812,4931,9907,5082,129477
31G,Manufacturing,89345,94717,25031,526901,2286474,143331,74945,162395,99195,87218,254832,268027,160897,74504,627867
42,Wholesale trade,55224,22567,7957,128131,511177,74977,41128,32728,37231,37302,64994,77509,41421,17293,113807
44RT,Retail trade,1834,960,4231,116116,19927,813,8119,21061,382,11423,6897,850,13903,9792,305
48TW,Transportation and warehousing,19534,19142,27573,43230,209737,152280,124906,257543,23563,54449,78891,32965,21677,6052,92793
51,Information,641,1572,9039,11257,23939,27199,49011,13170,310756,73095,153407,32730,44199,16806,176210
FIRE,"Finance, insurance, real estate, rental, and leasing",14759,47224,30631,65191,122433,254301,311682,178713,144961,1591474,478655,310511,220901,109007,105996
PROF,Professional and business services,4438,98199,48769,111001,226054,473116,313807,110690,333382,692595,944666,315071,211872,82889,391053
6,"Educational services, health care, and social assistance",2,---,1,0,1,497,1933,122,7,45,473,36290,4278,2017,26035
7,"Arts, entertainment, recreation, accommodation, and food services",577,459,4546,1876,7725,23890,16407,14262,59019,119821,107125,75484,67048,4372,32990
81,"Other services, except government",350,499,1562,7396,16436,25640,19207,21046,9202,44701,51919,22715,19249,10036,64650
G,Government,13,3,1124,8,4589,25333,11510,8486,2750,17421,10050,6682,11383,1626,14350
