code,Commodities/Industries,11,21,22,23,31G,42,44RT,48TW,51,FIRE,PROF,6,7,81,G
code,Name,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Professional and business services,"Educational services, health care, and social assistance","Arts, entertainment, recreation, accommodation, and food services","Other services, except government",Government
11,"Agriculture, forestry, fishing, and hunting",123452,133,---,2095,293749,40,1830,22,---,4,3226,185,13515,100,7181
21,Mining,1203,64870,29883,17705,366430,62,89,578,3074,204,3573,1997,2100,1669,27580
22,Utilities,10426,14478,42611,13071,76899,21693,58135,13930,18710,46910,21923,23436,38477,9275,45312
23,Construction,1752,4962,6650,402,21731,5473,12059,7646,4709,139004,6270,4812,8076,4766,118935
31G,Manufacturing,83483,63265,19181,490614,2052936,125905,65219,106177,88091,79076,223158,240214,135170,53028,502597
42,Wholesale trade,49160,17438,7447,122460,458169,67911,36062,28965,32478,34259,57527,68856,36457,13274,101578
44RT,Retail trade,1928,697,3041,109795,19394,786,7679,15694,376,9149,6903,809,12500,6717,310
48TW,Transportation and warehousing,15587,15998,25111,35899,182963,137045,104083,209365,20619,45812,68301,29458,16531,5013,81862
51,Information,722,1060,6414,10547,21416,24311,41141,10377,283359,73263,132350,30951,35505,15436,178896
FIRE,"Finance, insurance, real estate, rental, and leasing",16411,34125,22341,59861,109526,239928,276145,146323,124616,1579182,425677,292973,184647,97570,91696
PROF,Professional and business services,4269,59071,34988,100211,212466,420990,275776,86604,292863,674373,836661,301012,183414,71349,387368
6,"Educational services, health care, and social assistance",2,---,37,2,8,1026,2960,85,55,55,442,34280,3735,2145,22594
7,"Arts, entertainment, recreation, accommodation, and food services",546,422,3115,1626,6524,19384,13029,8208,50878,107564,86120,67344,50329,3730,24448
81,"Other services, except government",398,438,1062,7047,13976,22339,16106,16668,8127,50011,47218,21381,15874,8414,66446
G,Government,15,3,897,8,4306,25017,10909,7436,2772,13250,9462,6866,10748,1556,14927
